#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
192,AntiguaandBarbuda,94,,3,,91,,0,1,959,31,"1,946","19,844","98,067",NorthAmerica,"1,043","32,689",50
193,Curaçao,71,+2,1,,35,,35,,432,6,"1,080","6,577","164,209",NorthAmerica,"2,313","164,209",152
194,St.VincentGrenadines,61,,,,57,,4,,550,,"3,805","34,279","111,001",NorthAmerica,"1,820",,29
195,BritishVirginIslands,47,,1,,8,,38,,"1,553",33,"2,853","94,267","30,265",NorthAmerica,644,"30,265",11
196,Macao,46,,,,46,,0,,71,,"4,071","6,255","650,822",Asia,"14,148",,160
197,Fiji,29,,2,,23,,4,1,32,2,"7,986","8,897","897,556",Australia/Oceania,"30,950","448,778",112
198,Timor-Leste,27,,,,25,,2,,20,,"5,146","3,891","1,322,599",Asia,"48,985",,257
199,SaintLucia,26,,,,26,+1,0,,141,,"5,651","30,750","183,772",NorthAmerica,"7,068",,33
200,Grenada,24,,,,24,,0,,213,,"6,252","55,518","112,613",NorthAmerica,"4,692",,18
201,NewCaledonia,23,,,,23,,0,,80,,"12,618","44,124","285,964",Australia/Oceania,"12,433",,23
202,Laos,22,,,,21,,1,,3,,"39,696","5,443","7,293,253",Asia,"331,512",,184
203,Dominica,20,,,,18,,2,,278,,"2,077","28,840","72,017",NorthAmerica,"3,601",,35
204,St.Barth,18,,,,13,,5,,"1,821",,"2,075","209,978","9,882",NorthAmerica,549,,5
205,SaintKittsandNevis,17,,,,17,,0,,319,,"1,564","29,364","53,263",NorthAmerica,"3,133",,34
206,CaribbeanNetherlands,16,,,,7,,9,,609,,900,"34,267","26,264",NorthAmerica,"1,642",,29
207,Greenland,14,,,,14,,0,,247,,"6,727","118,460","56,787",NorthAmerica,"4,056",,8
208,Montserrat,13,,1,,12,,0,,"2,604",200,328,"65,692","4,993",NorthAmerica,384,"4,993",15
209,FalklandIslands,13,,,,13,,0,,"3,719",,"2,256","645,309","3,496",SouthAmerica,269,,2
210,VaticanCity,12,,,,12,,0,,"14,981",,,,801,Europe,67,,
211,WesternSahara,10,,1,,8,,1,,17,2,,,"599,728",Africa,"59,973","599,728",
212,MSZaandam,9,,2,,,,7,,,,,,,,,,
213,SaintPierreMiquelon,5,,,,4,,1,,864,,"1,051","181,551","5,789",NorthAmerica,"1,158",,6
214,Anguilla,3,,,,3,,0,,200,,808,"53,773","15,026",NorthAmerica,"5,009",,19
215,China,"85,066",+8,"4,634",,"80,234",+26,198,4,59,3,"90,410,000","62,814","1,439,323,776",Asia,"16,920","310,601",16
,Total:,"7,426,205","+16,365","273,793","+1,130","4,292,195","+6,726","2,860,217","19,382",,,,,,NorthAmerica,,,
,Total:,"6,389,282",+669,"204,721",+126,"5,028,219","+8,870","1,156,342","15,238",,,,,,SouthAmerica,,,
,Total:,"7,266,340","+77,851","145,247","+1,160","5,832,330","+64,220","1,288,763","18,821",,,,,,Asia,,,
,Total:,"3,628,810","+17,495","208,478",+304,"2,096,891","+10,133","1,323,441","5,789",,,,,,Europe,,,
,Total:,"1,265,750","+1,333","30,127",+23,"1,002,850",+296,"232,773","1,278",,,,,,Africa,,,
,Total:,"28,765",+109,692,+6,"23,779",+195,"4,294",35,,,,,,Australia/Oceania,,,
,Total:,721,,15,,651,,55,4,,,,,,,,,
,Total:,"26,005,873","+113,822","863,073","+2,749","18,276,915","+90,440","6,865,885","60,547","3,336.3",110.7,,,,All,,,
