#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
35,Kuwait,"86,478",+667,535,+1,"78,209",+552,"7,734",92,"20,200",125,"626,041","146,232","4,281,147",Asia,50,"8,002",7
36,Oman,"85,928",,689,,"81,024",,"4,215",154,"16,758",134,"309,212","60,302","5,127,702",Asia,60,"7,442",17
37,Belgium,"85,487",+251,"9,897",+2,"18,457",+35,"57,133",68,"7,371",853,"2,289,784","197,424","11,598,314",Europe,136,"1,172",5
38,Sweden,"84,532",,"5,820",+5,N/A,N/A,N/A,14,"8,361",576,"1,094,856","108,294","10,110,062",Europe,120,"1,737",9
39,Guatemala,"74,893",,"2,778",,"62,935",,"9,180",5,"4,168",155,"246,026","13,691","17,970,475",NorthAmerica,240,"6,469",73
40,Belarus,"72,141",+179,691,+5,"70,900",+294,550,,"7,635",73,"1,543,966","163,404","9,448,781",Europe,131,"13,674",6
41,Netherlands,"71,863",+734,"6,235",+5,N/A,N/A,N/A,42,"4,192",364,"1,455,274","84,898","17,141,441",Europe,239,"2,749",12
42,UAE,"71,540",+735,387,+3,"62,029",+538,"9,124",,"7,219",39,"7,257,053","732,254","9,910,566",Asia,139,"25,609",1
43,Poland,"68,517",+595,"2,078",+20,"47,865",+835,"18,574",83,"1,811",55,"2,777,601","73,405","37,839,368",Europe,552,"18,210",14
44,Japan,"68,392",,"1,296",,"57,823",,"9,273",234,541,10,"1,490,975","11,795","126,408,476",Asia,"1,848","97,537",85
45,Morocco,"63,781",,"1,184",,"48,922",,"13,675",31,"1,725",32,"1,956,416","52,898","36,984,429",Africa,580,"31,237",19
46,Honduras,"61,769",+755,"1,888",+15,"10,430",+34,"49,451",40,"6,220",190,"145,519","14,653","9,930,903",NorthAmerica,161,"5,260",68
47,Portugal,"58,633",+390,"1,827",+3,"42,233",+129,"14,573",41,"5,753",179,"2,042,805","200,442","10,191,490",Europe,174,"5,578",5
48,Singapore,"56,901",+49,27,,"55,891",+142,983,,"9,713",5,"2,068,284","353,058","5,858,196",Asia,103,"216,970",3
49,Nigeria,"54,247",,"1,023",,"42,010",,"11,214",7,262,5,"405,916","1,961","206,970,345",Africa,"3,815","202,317",510
50,Ethiopia,"53,304",,828,,"19,487",,"32,989",344,462,7,"928,453","8,044","115,426,640",Africa,"2,165","139,404",124
51,Bahrain,"52,440",,190,,"49,395",,"2,855",37,"30,651",111,"1,118,837","653,949","1,710,894",Asia,33,"9,005",2
52,Venezuela,"47,756",,391,,"39,027",,"8,338",99,"1,680",14,"1,775,594","62,473","28,421,801",SouthAmerica,595,"72,690",16
53,Algeria,"44,833",,"1,518",,"31,493",,"11,822",29,"1,019",35,,,"43,982,403",Africa,981,"28,974",
54,Ghana,"44,460",,276,,"43,121",,"1,063",6,"1,426",9,"444,081","14,243","31,179,653",Africa,701,"112,970",70
55,Armenia,"44,075",+197,884,+3,"38,631",+275,"4,560",,"14,869",298,"209,389","70,639","2,964,203",Asia,67,"3,353",14
56,Kyrgyzstan,"44,036",+78,"1,059",,"38,895",+246,"4,082",24,"6,731",162,"267,718","40,922","6,542,132",Asia,149,"6,178",24
57,Switzerland,"42,763",+370,"2,011",,"36,300",,"4,452",13,"4,935",232,"1,039,741","119,987","8,665,442",Europe,203,"4,309",8
58,Uzbekistan,"42,437",+310,327,+4,"39,664",+126,"2,446",147,"1,265",10,"1,377,915","41,070","33,550,499",Asia,791,"102,601",24
59,CostaRica,"42,184",,443,,"16,270",,"25,471",149,"8,268",87,"150,106","29,421","5,102,031",NorthAmerica,121,"11,517",34
60,Nepal,"41,649","+1,120",251,+12,"23,290","+1,112","18,108",,"1,425",9,"718,439","24,584","29,223,762",Asia,702,"116,429",41
61,Afghanistan,"38,243",+47,"1,409",+3,"29,315",+84,"7,519",48,979,36,"103,199","2,641","39,071,878",Asia,"1,022","27,730",379
