#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,Asia,"7,188,489","+102,350","144,087","+1,605","5,768,110","+83,687","1,276,292","18,795",,,,,,Asia,,,
,NorthAmerica,"7,409,840","+50,360","272,663","+1,532","4,285,469","+48,336","2,851,708","19,195",,,,,,NorthAmerica,,,
,SouthAmerica,"6,388,613","+70,858","204,595","+2,077","5,019,349","+93,104","1,164,669","15,238",,,,,,SouthAmerica,,,
,Europe,"3,611,315","+29,321","208,174",+432,"2,086,758","+13,386","1,316,383","5,816",,,,,,Europe,,,
,Africa,"1,264,417","+7,101","30,104",+242,"1,002,554","+15,156","231,759","1,262",,,,,,Africa,,,
,Oceania,"28,656",+89,686,+5,"23,584",+166,"4,386",41,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"25,892,051","+260,079","860,324","+5,893","18,186,475","+253,835","6,845,252","60,351","3,322",110.4,,,,All,,,
1,China,"85,058",+10,"4,634",,"80,208",+31,216,4,59,3,"90,410,000","62,814","1,439,323,776",Asia,"16,922","310,601",16
2,USA,"6,257,571","+41,979","188,900","+1,164","3,496,913","+40,650","2,571,758","15,079","18,886",570,"83,350,119","251,558","331,335,757",NorthAmerica,53,"1,754",4
3,Brazil,"3,952,790","+41,889","122,681","+1,166","3,159,096","+61,362","671,013","8,318","18,574",576,"14,352,484","67,440","212,817,864",SouthAmerica,54,"1,735",15
4,India,"3,766,108","+78,169","66,460","+1,025","2,899,521","+62,144","800,127","8,944","2,725",48,"43,324,834","31,342","1,382,308,045",Asia,367,"20,799",32
5,Russia,"1,000,048","+4,729","17,299",+123,"815,705","+6,318","167,044","2,300","6,852",119,"36,900,000","252,834","145,945,354",Europe,146,"8,437",4
6,Peru,"657,129","+5,092","29,068",+124,"471,599","+9,270","156,462","1,493","19,884",880,"3,233,034","97,826","33,048,955",SouthAmerica,50,"1,137",10
7,SouthAfrica,"628,259","+1,218","14,263",+114,"549,993","+9,070","64,003",539,"10,571",240,"3,705,408","62,344","59,434,682",Africa,95,"4,167",16
