#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
8,Colombia,"624,069","+8,901","20,052",+389,"469,557","+10,082","134,460","1,493","12,243",393,"2,777,107","54,480","50,974,767",SouthAmerica,82,"2,542",18
9,Mexico,"599,560","+3,719","64,414",+256,"416,738","+4,158","118,408","3,086","4,642",499,"1,345,483","10,417","129,162,329",NorthAmerica,215,"2,005",96
10,Spain,"470,973","+8,115","29,152",+58,N/A,N/A,N/A,823,"10,073",623,"9,210,337","196,979","46,757,930",Europe,99,"1,604",5
11,Argentina,"428,239","+10,504","8,919",+259,"308,376","+7,181","110,944","2,314","9,460",197,"1,277,751","28,227","45,266,317",SouthAmerica,106,"5,075",35
12,Chile,"413,145","+1,419","11,321",+32,"385,790","+1,911","16,034",962,"21,581",591,"2,458,762","128,434","19,144,157",SouthAmerica,46,"1,691",8
13,Iran,"376,894","+1,682","21,672",+101,"325,124","+1,891","30,098","3,709","4,478",257,"3,256,122","38,683","84,173,992",Asia,223,"3,884",26
14,UK,"337,168","+1,295","41,504",+3,N/A,N/A,N/A,60,"4,962",611,"16,273,209","239,497","67,947,310",Europe,202,"1,637",4
15,SaudiArabia,"316,670",+898,"3,929",+32,"291,514",+718,"21,227","1,519","9,072",113,"5,026,127","143,997","34,904,460",Asia,110,"8,884",7
16,Bangladesh,"314,946","+1,950","4,316",+35,"208,177","+3,290","102,453",,"1,909",26,"1,562,412","9,471","164,967,869",Asia,524,"38,222",106
17,Pakistan,"296,149",+300,"6,298",+4,"280,970",+288,"8,881",589,"1,336",28,"2,642,028","11,922","221,601,047",Asia,748,"35,186",84
18,France,"286,007","+4,982","30,661",+26,"86,712",+243,"168,634",424,"4,380",470,"7,500,000","114,857","65,298,537",Europe,228,"2,130",9
19,Turkey,"271,705","+1,572","6,417",+47,"245,929","+1,003","19,359",991,"3,216",76,"7,247,935","85,782","84,492,764",Asia,311,"13,167",12
20,Italy,"270,189",+978,"35,491",+8,"207,944",+291,"26,754",107,"4,470",587,"8,725,909","144,358","60,446,277",Europe,224,"1,703",7
21,Germany,"246,001","+1,209","9,381",+10,"221,800","+1,900","14,820",245,"2,935",112,"11,208,091","133,700","83,830,242",Europe,341,"8,936",7
22,Iraq,"238,338","+3,404","7,123",+81,"180,473","+3,871","50,742",521,"5,904",176,"1,624,331","40,236","40,370,299",Asia,169,"5,668",25
23,Philippines,"224,222","+3,441","3,596",+38,"158,001",+453,"62,625",837,"2,042",33,"2,633,709","23,981","109,826,339",Asia,490,"30,541",42
24,Indonesia,"177,571","+2,775","7,505",+88,"128,057","+2,098","42,009",,648,27,"2,270,627","8,287","274,013,706",Asia,"1,543","36,511",121
25,Canada,"129,425",+477,"9,132",+6,"114,607",+380,"5,686",52,"3,424",242,"5,545,549","146,713","37,798,504",NorthAmerica,292,"4,139",7
26,Ukraine,"123,294","+2,079","2,605",+48,"57,802",+688,"62,887",177,"2,822",60,"1,556,655","35,632","43,687,291",Europe,354,"16,771",28
27,Qatar,"118,994",+216,198,+1,"115,895",+228,"2,901",65,"42,380",71,"634,745","226,064","2,807,805",Asia,24,"14,181",4
28,Israel,"118,538","+1,942",957,+18,"96,214","+1,205","21,367",414,"12,888",104,"2,323,830","252,656","9,197,590",Asia,78,"9,611",4
29,Bolivia,"116,598",+630,"5,027",+61,"60,408","+1,911","51,163",71,"9,966",430,"242,146","20,697","11,699,772",SouthAmerica,100,"2,327",48
30,Ecuador,"114,309",+542,"6,571",+15,"101,723",+54,"6,015",360,"6,463",371,"331,243","18,727","17,687,867",SouthAmerica,155,"2,692",53
31,Kazakhstan,"105,872",+77,"1,588",+65,"96,899",+602,"7,385",221,"5,627",84,"2,434,444","129,391","18,814,618",Asia,178,"11,848",8
32,Egypt,"99,115",+176,"5,440",+19,"73,828",+899,"19,847",41,966,53,"135,000","1,315","102,653,844",Africa,"1,036","18,870",760
33,DominicanRepublic,"94,979",+264,"1,738",+28,"68,736",+654,"24,505",207,"8,741",160,"373,001","34,326","10,866,370",NorthAmerica,114,"6,252",29
34,Panama,"93,552",+570,"2,018",+16,"66,974",+801,"24,560",168,"21,625",466,"343,407","79,380","4,326,110",NorthAmerica,46,"2,144",13
35,Romania,"88,593","+1,053","3,681",+60,"38,454",+585,"46,458",522,"4,611",192,"1,825,272","94,992","19,214,957",Europe,217,"5,220",11
36,Oman,"85,928",+206,689,+4,"81,024",+214,"4,215",154,"16,758",134,"309,212","60,302","5,127,702",Asia,60,"7,442",17
37,Kuwait,"85,811",+702,534,+3,"77,657",+433,"7,620",90,"20,044",125,"621,616","145,198","4,281,147",Asia,50,"8,017",7
38,Belgium,"85,236",+194,"9,895",+1,"18,422",+7,"56,919",74,"7,349",853,"2,289,784","197,424","11,598,314",Europe,136,"1,172",5
39,Sweden,"84,532",+126,"5,815",,N/A,N/A,N/A,19,"8,361",575,"1,094,856","108,294","10,110,062",Europe,120,"1,739",9
40,Guatemala,"74,893",+819,"2,778",+18,"62,935",+867,"9,180",5,"4,168",155,"246,026","13,691","17,970,475",NorthAmerica,240,"6,469",73
41,Belarus,"71,962",+119,686,+5,"70,606",+138,670,,"7,616",73,"1,534,792","162,433","9,448,781",Europe,131,"13,774",6
42,Netherlands,"71,129",+462,"6,230",+6,N/A,N/A,N/A,42,"4,150",363,"1,455,274","84,898","17,141,441",Europe,241,"2,751",12
43,UAE,"70,805",+574,384,,"61,491",+560,"8,930",,"7,144",39,"7,177,430","724,220","9,910,566",Asia,140,"25,809",1
44,Japan,"68,392",+527,"1,296",+17,"57,823","+1,021","9,273",234,541,10,"1,490,975","11,795","126,408,476",Asia,"1,848","97,537",85
45,Poland,"67,922",+550,"2,058",+19,"47,030",+392,"18,834",86,"1,795",54,"2,743,434","72,502","37,839,368",Europe,557,"18,386",14
46,Morocco,"63,781","+1,191","1,184",+43,"48,922","+1,327","13,675",31,"1,725",32,"1,956,416","52,898","36,984,429",Africa,580,"31,237",19
47,Honduras,"61,014",+840,"1,873",+15,"10,396",+154,"48,745",43,"6,144",189,"143,807","14,481","9,930,903",NorthAmerica,163,"5,302",69
48,Portugal,"58,243",+231,"1,824",+2,"42,104",+143,"14,315",44,"5,715",179,"2,042,805","200,442","10,191,490",Europe,175,"5,587",5
49,Singapore,"56,852",+40,27,,"55,749",+91,"1,076",,"9,705",5,"2,068,284","353,058","5,858,196",Asia,103,"216,970",3
50,Nigeria,"54,247",+239,"1,023",+10,"42,010",+372,"11,214",7,262,5,"405,916","1,961","206,970,345",Africa,"3,815","202,317",510
51,Ethiopia,"53,304","+1,173",828,+19,"19,487",+493,"32,989",344,462,7,"928,453","8,044","115,426,640",Africa,"2,165","139,404",124
52,Bahrain,"52,440",+468,190,,"49,395",+348,"2,855",37,"30,651",111,"1,118,837","653,949","1,710,894",Asia,33,"9,005",2
53,Venezuela,"47,756","+1,028",391,+5,"39,027",+915,"8,338",99,"1,680",14,"1,775,594","62,473","28,421,801",SouthAmerica,595,"72,690",16
54,Algeria,"44,833",+339,"1,518",+8,"31,493",+249,"11,822",29,"1,019",35,,,"43,982,403",Africa,981,"28,974",
55,Ghana,"44,460",+162,276,,"43,121",+158,"1,063",6,"1,426",9,"442,185","14,182","31,179,653",Africa,701,"112,970",71
56,Kyrgyzstan,"43,958",+60,"1,059",+1,"38,649",+190,"4,250",24,"6,719",162,"267,718","40,922","6,542,132",Asia,149,"6,178",24
57,Armenia,"43,878",+97,881,+2,"38,356",+634,"4,641",,"14,803",297,"206,929","69,809","2,964,203",Asia,68,"3,365",14
58,Switzerland,"42,393",+216,"2,011",+5,"36,300",+200,"4,082",16,"4,892",232,"1,023,203","118,079","8,665,442",Europe,204,"4,309",8
59,CostaRica,"42,184",+897,443,+7,"16,270",+214,"25,471",149,"8,268",87,"150,106","29,421","5,102,031",NorthAmerica,121,"11,517",34
60,Uzbekistan,"42,127",+234,323,+3,"39,538",+263,"2,266",147,"1,256",10,"1,377,915","41,070","33,550,499",Asia,796,"103,872",24
61,Nepal,"40,529","+1,069",239,+11,"22,178",+768,"18,112",,"1,387",8,"705,560","24,143","29,223,762",Asia,721,"122,275",41
62,Afghanistan,"38,196",+31,"1,406",+4,"29,231",+142,"7,559",41,978,36,"102,778","2,630","39,071,878",Asia,"1,023","27,789",380
63,Moldova,"37,208",+288,"1,008",+13,"25,872",,"10,328",575,"9,227",250,"207,925","51,565","4,032,320",Europe,108,"4,000",19
64,Azerbaijan,"36,578",+143,536,+2,"33,977",+130,"2,065",,"3,602",53,"928,666","91,452","10,154,729",Asia,278,"18,945",11
65,Kenya,"34,315",+114,577,,"20,211",+318,"13,527",44,636,11,"456,088","8,451","53,965,495",Africa,"1,573","93,528",118
66,Serbia,"31,482",+76,715,+2,"30,053",+25,714,48,"3,606",82,"938,546","107,494","8,731,176",Europe,277,"12,211",9
67,Ireland,"29,025",+214,"1,777",,"23,364",,"3,884",6,"5,867",359,"844,706","170,747","4,947,117",Europe,170,"2,784",6
68,Austria,"27,642",+204,734,+1,"23,565",+339,"3,343",30,"3,066",81,"1,193,127","132,346","9,015,221",Europe,326,"12,282",8
69,ElSalvador,"25,820",+91,724,+7,"14,570",+278,"10,526",261,"3,977",112,"317,809","48,955","6,491,834",NorthAmerica,251,"8,967",20
70,Australia,"25,819",+73,657,+5,"21,503",+153,"3,659",26,"1,011",26,"6,255,408","244,831","25,549,875",Australia/Oceania,990,"38,889",4
71,Czechia,"25,117",+499,425,+1,"18,116",+309,"6,576",34,"2,345",40,"910,872","85,029","10,712,426",Europe,427,"25,206",12
72,Palestine,"23,281",+552,159,+7,"15,338",+282,"7,784",,"4,546",31,"263,288","51,416","5,120,787",Asia,220,"32,206",19
73,BosniaandHerzegovina,"20,234",+270,620,+11,"13,435",+340,"6,179",,"6,174",189,"188,733","57,590","3,277,208",Europe,162,"5,286",17
74,S.Korea,"20,182",+235,324,,"15,198",+225,"4,660",104,394,6,"1,959,080","38,206","51,276,856",Asia,"2,541","158,262",26
75,Cameroon,"19,409",+267,414,+3,"17,651",,"1,344",30,728,16,"149,000","5,590","26,653,272",Africa,"1,373","64,380",179
76,Paraguay,"18,338",+676,348,+22,"9,721",+300,"8,269",85,"2,566",49,"195,554","27,360","7,147,313",SouthAmerica,390,"20,538",37
77,IvoryCoast,"18,103",+36,117,,"16,814",+115,"1,172",,684,4,"128,187","4,840","26,484,492",Africa,"1,463","226,363",207
78,Lebanon,"17,777",+469,171,+4,"4,988",+177,"12,618",97,"2,607",25,"536,269","78,631","6,820,059",Asia,384,"39,883",13
79,Denmark,"17,084",+99,625,+1,"15,300",+95,"1,159",4,"2,948",108,"2,493,863","430,294","5,795,724",Europe,339,"9,273",2
80,Bulgaria,"16,454",+188,642,+13,"11,615",+132,"4,197",62,"2,371",93,"415,797","59,920","6,939,160",Europe,422,"10,809",17
81,Madagascar,"14,957",+94,195,+3,"13,915",+83,847,42,538,7,"58,459","2,102","27,806,443",Africa,"1,859","142,597",476
82,Libya,"14,624",+658,242,+5,"1,676",+217,"12,706",,"2,123",35,"114,145","16,574","6,886,992",Africa,471,"28,459",60
83,NorthMacedonia,"14,455",+114,604,+1,"11,525",+368,"2,326",1,"6,938",290,"149,934","71,967","2,083,359",Europe,144,"3,449",14
84,Senegal,"13,655",+44,284,,"9,484",+45,"3,887",31,812,17,"147,162","8,752","16,815,329",Africa,"1,231","59,209",114
85,Sudan,"13,189",,823,,"6,612",,"5,754",,300,19,401,9,"44,016,458",Africa,"3,337","53,483","109,767"
86,Zambia,"12,381",+284,290,+2,"11,479",+10,612,,670,16,"117,761","6,377","18,466,845",Africa,"1,492","63,679",157
87,Norway,"10,871",+89,264,,"9,348",,"1,259",1,"2,003",49,"686,202","126,408","5,428,478",Europe,499,"20,562",8
88,Greece,"10,524",+207,271,+5,"3,804",,"6,449",38,"1,011",26,"966,346","92,792","10,414,074",Europe,990,"38,428",11
89,Croatia,"10,414",+145,187,+1,"7,735",+301,"2,492",14,"2,540",46,"171,224","41,754","4,100,788",Europe,394,"21,929",24
90,DRC,"10,104",+7,259,+1,"9,322",+189,523,,112,3,,,"89,996,481",Africa,"8,907","347,477",
91,Albania,"9,606",+93,290,+6,"5,441",+227,"3,875",22,"3,339",101,"59,250","20,593","2,877,248",Europe,300,"9,922",49
92,Guinea,"9,479",+70,59,,"8,527",+80,893,24,719,4,"24,530","1,860","13,190,302",Africa,"1,392","223,564",538
93,Malaysia,"9,354",+14,128,+1,"9,075",+21,151,5,288,4,"1,253,855","38,656","32,435,830",Asia,"3,468","253,405",26
94,FrenchGuiana,"9,154",+39,60,+1,"8,707",+53,387,10,"30,520",200,"53,809","179,402","299,936",SouthAmerica,33,"4,999",6
95,Tajikistan,"8,619",+36,68,,"7,413",+37,"1,138",,900,7,,,"9,572,723",Asia,"1,111","140,775",
96,Gabon,"8,533",,53,,"7,264",,"1,216",2,"3,819",24,"118,395","52,990","2,234,304",Africa,262,"42,157",19
97,Haiti,"8,230",+6,203,+2,"5,828",,"2,199",,720,18,"23,679","2,072","11,425,976",NorthAmerica,"1,388","56,286",483
98,Finland,"8,142",+56,336,,"7,200",,606,1,"1,469",61,"668,494","120,619","5,542,214",Europe,681,"16,495",8
99,Maldives,"8,003",+199,29,+1,"5,265",+110,"2,709",12,"14,762",53,"113,885","210,071","542,125",Asia,68,"18,694",5
100,Namibia,"7,692",+142,81,+6,"3,379",+52,"4,232",16,"3,018",32,"62,446","24,503","2,548,537",Africa,331,"31,463",41
101,Mauritania,"7,075",+27,159,,"6,464",,452,3,"1,515",34,"69,937","14,978","4,669,439",Africa,660,"29,368",67
102,Luxembourg,"6,702",+25,124,,N/A,N/A,N/A,2,"10,677",198,"646,620","1,030,181","627,676",Europe,94,"5,062",1
103,Zimbabwe,"6,559",+62,203,+1,"5,241",+20,"1,115",,440,14,"151,597","10,175","14,899,180",Africa,"2,272","73,395",98
104,Hungary,"6,257",+118,616,+1,"3,821",+60,"1,820",7,648,64,"429,942","44,526","9,656,049",Europe,"1,543","15,675",22
105,Malawi,"5,576",+10,175,,"3,420",+260,"1,981",4,290,9,"45,622","2,375","19,210,070",Africa,"3,445","109,772",421
106,Djibouti,"5,387",,60,,"5,327",+4,0,,"5,439",61,"67,780","68,436","990,408",Africa,184,"16,507",15
107,EquatorialGuinea,"4,965",+24,83,,"3,884",,998,1,"3,521",59,"51,944","36,832","1,410,293",Africa,284,"16,991",27
108,Montenegro,"4,917",+82,102,+2,"4,058",+37,757,,"7,829",162,"49,348","78,570","628,080",Europe,128,"6,158",13
109,HongKong,"4,823",+12,90,+1,"4,380",+38,353,25,642,12,"780,415","103,953","7,507,357",Asia,"1,557","83,415",10
110,CAR,"4,711",,62,,"1,790",,"2,859",2,973,13,"31,126","6,426","4,843,725",Africa,"1,028","78,125",156
111,Nicaragua,"4,668",+174,141,+4,"2,913",,"1,614",,703,21,,,"6,637,860",NorthAmerica,"1,422","47,077",
112,Eswatini,"4,618",+41,94,+3,"3,562",+33,962,11,"3,973",81,"30,327","26,094","1,162,201",Africa,252,"12,364",38
113,Rwanda,"4,142",+79,16,,"2,044",+31,"2,082",,319,1,"415,329","31,938","13,004,423",Africa,"3,140","812,776",31
114,Suriname,"4,089",+55,72,+1,"3,171",+31,846,19,"6,960",123,"8,881","15,116","587,527",SouthAmerica,144,"8,160",66
115,Cuba,"4,065",+33,95,+1,"3,395",+17,575,6,359,8,"392,785","34,682","11,325,409",NorthAmerica,"2,786","119,215",29
116,Mozambique,"4,039",+123,23,,"2,170",,"1,846",,129,0.7,"96,387","3,070","31,396,409",Africa,"7,773","1,365,061",326
117,Slovakia,"3,989",+72,33,,"2,478",+101,"1,478",18,731,6,"337,695","61,848","5,460,102",Europe,"1,369","165,458",16
118,Congo,"3,979",,78,,"1,742",,"2,159",,718,14,,,"5,540,183",Africa,"1,392","71,028",
119,CaboVerde,"3,970",+86,40,,"3,423",+507,507,,"7,127",72,"76,576","137,477","557,009",Africa,140,"13,925",7
120,Tunisia,"3,963",+160,80,+3,"1,624",+51,"2,259",15,335,7,"146,307","12,357","11,839,580",Africa,"2,988","147,995",81
121,Thailand,"3,417",+5,58,,"3,274",+22,85,1,49,0.8,"749,213","10,729","69,830,301",Asia,"20,436","1,203,971",93
122,Somalia,"3,310",,98,,"2,481",,731,,207,6,,,"15,964,632",Africa,"4,823","162,904",
123,Mayotte,"3,301",,40,,"2,964",,297,1,"12,052",146,"13,000","47,465","273,887",Africa,83,"6,847",21
124,SriLanka,"3,092",+43,12,,"2,879",+11,201,,144,0.6,"228,052","10,642","21,428,725",Asia,"6,930","1,785,727",94
125,Uganda,"3,037",+65,32,,"1,489",+201,"1,516",,66,0.7,"381,749","8,304","45,970,965",Africa,"15,137","1,436,593",120
126,Gambia,"3,029",+66,96,,"1,032",,"1,901",,"1,248",40,"13,354","5,501","2,427,595",Africa,801,"25,287",182
127,Lithuania,"2,929",+23,86,,"1,857",+17,986,5,"1,079",32,"643,704","237,053","2,715,443",Europe,927,"31,575",4
128,Slovenia,"2,924",+41,133,,"2,323",+27,468,2,"1,406",64,"160,239","77,075","2,078,988",Europe,711,"15,631",13
129,Syria,"2,830",+65,116,+4,646,+17,"2,068",,161,7,,,"17,569,888",Asia,"6,208","151,465",
130,Mali,"2,777",+1,126,,"2,178",+9,473,,136,6,"39,093","1,922","20,344,505",Africa,"7,326","161,464",520
131,Angola,"2,729",+75,109,+1,"1,084",+13,"1,536",24,83,3,"64,747","1,960","33,029,269",Africa,"12,103","303,021",510
132,SouthSudan,"2,527",,47,,"1,290",,"1,190",,225,4,"12,044","1,074","11,215,892",Africa,"4,438","238,636",931
133,Jamaica,"2,459",+102,21,,890,,"1,548",6,830,7,"59,107","19,946","2,963,394",NorthAmerica,"1,205","141,114",50
134,Estonia,"2,395",+20,64,,"2,112",+24,219,,"1,805",48,"150,354","113,330","1,326,690",Europe,554,"20,730",9
135,Bahamas,"2,276",+59,50,,801,,"1,425",83,"5,778",127,"11,445","29,057","393,882",NorthAmerica,173,"7,878",34
136,Guinea-Bissau,"2,205",,34,,"1,127",,"1,044",5,"1,116",17,"1,500",759,"1,975,591",Africa,896,"58,106","1,317"
137,Benin,"2,145",,40,,"1,738",,367,,176,3,"118,206","9,709","12,174,610",Africa,"5,676","304,365",103
138,Iceland,"2,116",+9,10,,"2,007",+10,99,,"6,194",29,"217,282","636,030","341,622",Europe,161,"34,162",2
139,Aruba,"2,104",+98,10,,857,+89,"1,237",7,"19,692",94,"21,523","201,443","106,844",NorthAmerica,51,"10,684",5
140,Jordan,"2,097",+63,15,,"1,564",+56,518,3,205,1,"839,241","82,115","10,220,328",Asia,"4,874","681,355",12
141,SierraLeone,"2,028",+6,71,+1,"1,594",,363,,253,9,,,"8,003,714",Africa,"3,947","112,728",
142,Yemen,"1,962",+4,570,+4,"1,160",+29,232,,66,19,120,4,"29,933,669",Asia,"15,257","52,515","249,447"
143,Malta,"1,909",+26,12,,"1,453",+53,444,,"4,321",27,"192,509","435,790","441,747",Europe,231,"36,812",2
144,TrinidadandTobago,"1,797",+38,27,+5,685,+9,"1,085",6,"1,283",19,"23,934","17,092","1,400,271",NorthAmerica,779,"51,862",59
145,NewZealand,"1,752",+14,22,,"1,598",+13,132,10,350,4,"766,626","153,261","5,002,100",Australia/Oceania,"2,855","227,368",7
146,Botswana,"1,724",,6,,493,,"1,225",1,731,3,"116,728","49,472","2,359,455",Africa,"1,369","393,243",20
147,Réunion,"1,714",+35,9,,880,,825,2,"1,912",10,"35,419","39,512","896,405",Africa,523,"99,601",25
148,Uruguay,"1,611",+16,44,,"1,419",+10,148,3,463,13,"175,080","50,371","3,475,809",SouthAmerica,"2,158","78,996",20
149,Georgia,"1,510",+23,19,,"1,253",+13,238,,379,5,"370,858","92,998","3,987,826",Asia,"2,641","209,886",11
150,Cyprus,"1,490",+2,21,+1,"1,139",,330,5,"1,233",17,"286,736","237,195","1,208,862",Asia,811,"57,565",4
151,Togo,"1,416",+16,28,,"1,035",+30,353,,170,3,"66,141","7,959","8,310,403",Africa,"5,869","296,800",126
152,Latvia,"1,404",+8,34,,"1,173",+10,197,1,746,18,"253,818","134,833","1,882,465",Europe,"1,341","55,367",7
153,Guyana,"1,373",+67,41,+2,742,+24,590,11,"1,744",52,"8,822","11,207","787,205",SouthAmerica,573,"19,200",89
154,BurkinaFaso,"1,370",+2,55,,"1,075",+17,240,,65,3,,,"20,995,721",Africa,"15,325","381,740",
155,Liberia,"1,305",+1,82,,"1,158",+286,65,,257,16,,,"5,077,085",Africa,"3,890","61,916",
156,Guadeloupe,"1,269",,16,,336,,917,8,"3,171",40,"30,463","76,132","400,136",NorthAmerica,315,"25,009",13
157,Andorra,"1,184",+8,53,,908,,223,3,"15,320",686,"137,457","1,778,550","77,286",Europe,65,"1,458",1
158,Niger,"1,176",,69,,"1,088",,19,,48,3,"9,052",372,"24,344,060",Africa,"20,701","352,812","2,689"
159,Lesotho,"1,085",,31,,528,,526,,506,14,"15,632","7,287","2,145,147",Africa,"1,977","69,198",137
160,Belize,"1,050",+43,13,,213,+40,824,3,"2,633",33,"8,460","21,212","398,825",NorthAmerica,380,"30,679",47
161,Vietnam,"1,044",,34,,735,+28,275,,11,0.3,"1,009,145","10,352","97,487,623",Asia,"93,379","2,867,283",97
162,Chad,"1,017",+4,77,,884,+4,56,,62,5,,,"16,501,584",Africa,"16,226","214,306",
163,Myanmar,919,+37,6,,357,+3,556,,17,0.1,"157,843","2,898","54,472,258",Asia,"59,273","9,078,710",345
164,SaoTomeandPrincipe,896,,15,,853,+2,28,,"4,076",68,"3,843","17,481","219,833",Africa,245,"14,656",57
165,Martinique,747,+132,18,+2,98,,631,3,"1,991",48,"12,942","34,492","375,214",NorthAmerica,502,"20,845",29
166,SanMarino,715,,42,,660,,13,,"21,065","1,237","6,865","202,251","33,943",Europe,47,808,5
167,DiamondPrincess,712,,13,,651,,48,4,,,,,,,,,
168,ChannelIslands,630,+5,48,,545,,37,,"3,618",276,"83,755","480,975","174,136",Europe,276,"3,628",2
169,FrenchPolynesia,573,,,,205,,368,4,"2,038",,"14,463","51,436","281,187",Australia/Oceania,491,,19
170,Tanzania,509,,21,,183,,305,7,8,0.3,,,"60,007,733",Africa,"117,893","2,857,511",
171,TurksandCaicos,508,+1,4,+1,200,,304,3,"13,091",103,"2,430","62,621","38,805",NorthAmerica,76,"9,701",16
172,Taiwan,488,,7,,462,,19,,20,0.3,"87,646","3,679","23,824,252",Asia,"48,820","3,403,465",272
173,SintMaarten,476,+13,17,,200,+21,259,8,"11,081",396,"2,281","53,098","42,958",NorthAmerica,90,"2,527",19
174,PapuaNewGuinea,460,+1,5,,232,,223,,51,0.6,"15,592","1,737","8,975,067",Australia/Oceania,"19,511","1,795,013",576
175,Burundi,445,,1,,357,,87,,37,0.08,"24,659","2,064","11,947,482",Africa,"26,848","11,947,482",485
176,Comoros,427,+4,7,,410,+11,10,,489,8,,,"872,645",Africa,"2,044","124,664",
177,FaeroeIslands,411,,,,374,,37,2,"8,406",,"97,762","1,999,427","48,895",Europe,119,,1
178,Mauritius,356,,10,,335,,11,,280,8,"227,409","178,762","1,272,134",Africa,"3,573","127,213",6
179,IsleofMan,336,,24,,312,,0,,"3,948",282,"10,070","118,317","85,110",Europe,253,"3,546",8
180,Eritrea,319,,,,284,,35,,90,,,,"3,554,662",Africa,"11,143",,
181,Mongolia,304,+3,,,295,,9,1,92,,"54,413","16,554","3,287,097",Asia,"10,813",,60
182,Gibraltar,290,+2,,,237,+5,53,,"8,608",,"34,412","1,021,461","33,689",Europe,116,,1
183,Cambodia,274,,,,266,,8,1,16,,"98,687","5,889","16,757,816",Asia,"61,160",,170
184,Bhutan,225,+1,,,142,+2,83,,291,,"100,081","129,463","773,046",Asia,"3,436",,8
185,SaintMartin,213,,5,,79,,129,11,"5,493",129,"2,756","71,075","38,776",NorthAmerica,182,"7,755",14
186,CaymanIslands,205,,1,,204,+2,0,,"3,113",15,"35,574","540,211","65,852",NorthAmerica,321,"65,852",2
187,Barbados,176,+2,7,,146,,23,,612,24,"17,332","60,299","287,436",NorthAmerica,"1,633","41,062",17
188,Bermuda,172,,9,,157,+2,6,,"2,764",145,"45,756","735,178","62,238",NorthAmerica,362,"6,915",1
189,Brunei,144,,3,,139,,2,,329,7,"51,856","118,341","438,191",Asia,"3,043","146,064",8
190,Monaco,140,+2,1,,90,+1,49,1,"3,563",25,"51,953","1,322,296","39,290",Europe,281,"39,290",1
191,Seychelles,136,,,,127,,9,,"1,381",,,,"98,451",Africa,724,,
192,Liechtenstein,107,,1,,97,,9,,"2,805",26,900,"23,593","38,147",Europe,357,"38,147",42
193,AntiguaandBarbuda,94,,3,,91,,0,1,959,31,"1,946","19,844","98,067",NorthAmerica,"1,043","32,689",50
194,Curaçao,69,+1,1,,35,,33,,420,6,"1,080","6,577","164,209",NorthAmerica,"2,380","164,209",152
195,St.VincentGrenadines,61,+1,,,57,,4,,550,,"3,805","34,279","111,001",NorthAmerica,"1,820",,29
196,BritishVirginIslands,47,,1,,8,,38,,"1,553",33,"2,853","94,267","30,265",NorthAmerica,644,"30,265",11
197,Macao,46,,,,46,,0,,71,,"4,071","6,255","650,822",Asia,"14,148",,160
198,Fiji,29,+1,2,,23,,4,1,32,2,"7,986","8,897","897,556",Australia/Oceania,"30,950","448,778",112
